"Rs","T5","T10","Annual.Rs","Latitude","Longitude","Elevation","MAT","MAP","Forest.type","Longitude.1","Latitude.1","Year","Month"
2.8,21.76,15.5542857142857,923.831388888889,23.6,107.48,424,20.3,1350,21,107.48,23.6,2014,11
1.12,11.94,15.5542857142857,923.831388888889,23.6,107.48,424,20.3,1350,21,107.48,23.6,2014,12
1.12,12.19,15.5542857142857,923.831388888889,23.6,107.48,424,20.3,1350,21,107.48,23.6,2015,1
1.03,11.42,15.5542857142857,923.831388888889,23.6,107.48,424,20.3,1350,21,107.48,23.6,2015,2
1.7,16.63,15.5542857142857,923.831388888889,23.6,107.48,424,20.3,1350,21,107.48,23.6,2015,3
2.35,19.14,15.5542857142857,923.831388888889,23.6,107.48,424,20.3,1350,21,107.48,23.6,2015,4
4.01,23.21,15.5542857142857,923.831388888889,23.6,107.48,424,20.3,1350,21,107.48,23.6,2015,5
5.3,25.01,15.5542857142857,923.831388888889,23.6,107.48,424,20.3,1350,21,107.48,23.6,2015,6
3.73,25.13,15.5542857142857,923.831388888889,23.6,107.48,424,20.3,1350,21,107.48,23.6,2015,7
4.15,26.21,15.5542857142857,923.831388888889,23.6,107.48,424,20.3,1350,21,107.48,23.6,2015,8
6.23,26.2,15.5542857142857,1075.64,23.6,107.48,400,20.3,1350,32,107.48,23.6,2014,9
3.23,24.17,15.5542857142857,1089,23.6,107.48,400,20.3,1350,32,107.48,23.6,2014,10
2.88,21.55,15.5542857142857,923.831388888889,23.6,107.48,400,20.3,1350,32,107.48,23.6,2014,11
1.43,12.28,15.5542857142857,923.831388888889,23.6,107.48,400,20.3,1350,32,107.48,23.6,2014,12
1.08,11.09,15.5542857142857,923.831388888889,23.6,107.48,400,20.3,1350,32,107.48,23.6,2015,1
0.88,11.08,15.5542857142857,923.831388888889,23.6,107.48,400,20.3,1350,32,107.48,23.6,2015,2
1.63,16.79,15.5542857142857,923.831388888889,23.6,107.48,400,20.3,1350,32,107.48,23.6,2015,3
2.02,19.73,15.5542857142857,923.831388888889,23.6,107.48,400,20.3,1350,32,107.48,23.6,2015,4
3.77,24.06,15.5542857142857,923.831388888889,23.6,107.48,400,20.3,1350,32,107.48,23.6,2015,5
4.54,25.39,15.5542857142857,923.831388888889,23.6,107.48,400,20.3,1350,32,107.48,23.6,2015,6
2.39,25.42,15.5542857142857,923.831388888889,23.6,107.48,400,20.3,1350,32,107.48,23.6,2015,7
3.98,26.42,15.5542857142857,923.831388888889,23.6,107.48,400,20.3,1350,32,107.48,23.6,2015,8
3.51,22.85,15.5542857142857,1044,25.25,107.98,735,15.3,1321,2,107.98,25.25,2011,9
3.09,20.76,15.5542857142857,923.831388888889,25.25,107.98,735,15.3,1321,2,107.98,25.25,2011,9
2.97,17.11,15.5542857142857,923.831388888889,25.25,107.98,735,15.3,1321,2,107.98,25.25,2011,11
2.76,17.07,15.5542857142857,923.831388888889,25.25,107.98,735,15.3,1321,2,107.98,25.25,2011,11
0.93,9.66,15.5542857142857,923.831388888889,25.25,107.98,735,15.3,1321,2,107.98,25.25,2011,12
0.97,8.26,15.5542857142857,923.831388888889,25.25,107.98,735,15.3,1321,2,107.98,25.25,2012,1
0.93,8.28,15.5542857142857,923.831388888889,25.25,107.98,735,15.3,1321,2,107.98,25.25,2012,2
1.75,12.98,15.5542857142857,923.831388888889,25.25,107.98,735,15.3,1321,2,107.98,25.25,2012,3
2.83,16.63,15.5542857142857,923.831388888889,25.25,107.98,735,15.3,1321,2,107.98,25.25,2012,4
4.15,17.56,15.5542857142857,923.831388888889,25.25,107.98,735,15.3,1321,2,107.98,25.25,2012,5
4.56,21.08,15.5542857142857,923.831388888889,25.25,107.98,735,15.3,1321,2,107.98,25.25,2012,6
3.55,22.06,15.5542857142857,923.831388888889,25.25,107.98,735,15.3,1321,2,107.98,25.25,2012,8
4.64,23.77,15.5542857142857,903,25.25,107.98,725,15.3,1321,28,107.98,25.25,2011,7
4.49,23.76,15.5542857142857,923.831388888889,25.25,107.98,725,15.3,1321,28,107.98,25.25,2011,8
3.38,22.79,15.5542857142857,923.831388888889,25.25,107.98,725,15.3,1321,28,107.98,25.25,2011,9
3.25,20.66,15.5542857142857,923.831388888889,25.25,107.98,725,15.3,1321,28,107.98,25.25,2011,9
1.61,16.92,15.5542857142857,923.831388888889,25.25,107.98,725,15.3,1321,28,107.98,25.25,2011,11
2.01,17.25,15.5542857142857,923.831388888889,25.25,107.98,725,15.3,1321,28,107.98,25.25,2011,11
0.72,9.85,15.5542857142857,923.831388888889,25.25,107.98,725,15.3,1321,28,107.98,25.25,2011,12
0.72,7.88,15.5542857142857,923.831388888889,25.25,107.98,725,15.3,1321,28,107.98,25.25,2012,1
0.39,7.8,15.5542857142857,923.831388888889,25.25,107.98,725,15.3,1321,28,107.98,25.25,2012,2
1.08,12.5,15.5542857142857,923.831388888889,25.25,107.98,725,15.3,1321,28,107.98,25.25,2012,3
1.91,16.24,15.5542857142857,923.831388888889,25.25,107.98,725,15.3,1321,28,107.98,25.25,2012,4
2.22,18.57,15.5542857142857,923.831388888889,25.25,107.98,725,15.3,1321,28,107.98,25.25,2012,5
4.65,21.79,15.5542857142857,923.831388888889,25.25,107.98,725,15.3,1321,28,107.98,25.25,2012,6
3.5,22.79,15.5542857142857,923.831388888889,25.25,107.98,725,15.3,1321,28,107.98,25.25,2012,8
4.68,24.36,15.5542857142857,923.831388888889,25.38,107.96,1250,15.3,1750,29,107.96,25.38,2008,8
0.89,21.01,15.5542857142857,923.831388888889,25.38,107.96,1250,15.3,1750,29,107.96,25.38,2008,9
1.29,14.69,15.5542857142857,923.831388888889,25.38,107.96,1250,15.3,1750,29,107.96,25.38,2008,11
1.57,19.71,15.5542857142857,923.831388888889,25.38,107.96,1250,15.3,1750,29,107.96,25.38,2009,3
2.31,16.05,15.5542857142857,923.831388888889,25.38,107.96,1250,15.3,1750,29,107.96,25.38,2009,4
3.26,17.91,15.5542857142857,923.831388888889,25.38,107.96,1250,15.3,1750,29,107.96,25.38,2009,5
5.81,21.88,15.5542857142857,923.831388888889,25.38,107.96,1250,15.3,1750,29,107.96,25.38,2009,6
3.99,23.62,15.5542857142857,923.831388888889,25.38,107.96,1250,15.3,1750,29,107.96,25.38,2009,7
6.18,20.65,15.5542857142857,1174.95,26.53,106.77,1200,14.8,1118,26,106.77,26.53,2008,6
5.56,21.94,15.5542857142857,923.831388888889,26.53,106.77,1200,14.8,1118,26,106.77,26.53,2008,7
4.86,22.46,15.5542857142857,923.831388888889,26.53,106.77,1200,14.8,1118,26,106.77,26.53,2008,8
3.62,22.25,15.5542857142857,923.831388888889,26.53,106.77,1200,14.8,1118,26,106.77,26.53,2008,9
3.73,19.95,15.5542857142857,923.831388888889,26.53,106.77,1200,14.8,1118,26,106.77,26.53,2008,10
2.29,12.97,15.5542857142857,923.831388888889,26.53,106.77,1200,14.8,1118,26,106.77,26.53,2008,11
1.49,8.43,15.5542857142857,923.831388888889,26.53,106.77,1200,14.8,1118,26,106.77,26.53,2008,12
0.83,6.64,15.5542857142857,923.831388888889,26.53,106.77,1200,14.8,1118,26,106.77,26.53,2009,1
1.84,12.18,15.5542857142857,923.831388888889,26.53,106.77,1200,14.8,1118,26,106.77,26.53,2009,2
2.13,12.01,15.5542857142857,923.831388888889,26.53,106.77,1200,14.8,1118,26,106.77,26.53,2009,3
2.39,14.98,15.5542857142857,923.831388888889,26.53,106.77,1200,14.8,1118,26,106.77,26.53,2009,4
2.59,18.75,15.5542857142857,923.831388888889,26.53,106.77,1200,14.8,1118,26,106.77,26.53,2009,5
1.23,5.23,15.5542857142857,923.831388888889,32.66,106.91,1425,13,1350,19,106.91,32.66,2007,4
1.6,8.33,15.5542857142857,923.831388888889,32.66,106.91,1425,13,1350,19,106.91,32.66,2007,5
2.29,13.06,15.5542857142857,923.831388888889,32.66,106.91,1425,13,1350,19,106.91,32.66,2007,6
2.49,15.45,15.5542857142857,923.831388888889,32.66,106.91,1425,13,1350,19,106.91,32.66,2007,7
2.78,17.26,15.5542857142857,923.831388888889,32.66,106.91,1425,13,1350,19,106.91,32.66,2007,8
2.04,15.37,15.5542857142857,923.831388888889,32.66,106.91,1425,13,1350,19,106.91,32.66,2007,9
1.45,8.68,15.5542857142857,923.831388888889,32.66,106.91,1425,13,1350,19,106.91,32.66,2007,10
0.85,2.61,15.5542857142857,923.831388888889,32.66,106.91,1425,13,1350,19,106.91,32.66,2007,11
3.5,18.8728541226216,15.5542857142857,820,29.78,106.34,770,13.6,1612,5,106.34,29.78,2010,7
3.61,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,770,13.6,1612,5,106.34,29.78,2010,8
2.9,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,770,13.6,1612,5,106.34,29.78,2010,9
2.3,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,770,13.6,1612,5,106.34,29.78,2010,10
